"HolderAddress","Balance","PendingBalanceUpdate"
"0x05c1b65390c01a7d7166542c6a230067f3949ee2","219","No"
"0x097b3631bbe85aca1ab8754e012e21f25b3f1af1","410","No"
"0x0e8682999c20c6771c0e72f395dc86b8855fc02f","100","No"
"0x0ff051891debb1f6beee93b932dcae625735a2d8","1012","No"
"0x189d52625d127d7c8ce15cdd47586deb75dbac83","11","No"
"0x1a7f14fbf50acf10bcc08466743fb90384cbd720","10","No"
"0x1f584c11ce62b71008fe7af40a428cf3a8beda9b","200","No"
"0x23b321f6a476c05358fed491985ba9c41ca8bd03","320","No"
"0x2444b20361cc617a081d7c90bcd51de4883940f6","360","No"
"0x24c9527eadf9042a5413ad4aa7a8dec7e5a9cfbb","1","No"
"0x29571cc97d6ae216bd76f6b74a06db92d65aaab3","480","No"
"0x2d86b98198e0b0548b85e98724a02ac481f91c71","310","No"
"0x312e2516a913466cd7c2f3dd7d4b81c5ca44ba28","80","No"
"0x33d73cc0e060939476a10e47b86a4568c7dcf261","10","No"
"0x3961c85b1bb8b65de43c8682db72e25e49c3ec99","100","No"
"0x3bbc510a954823d4d35b5ebf4a14313e03aa3c8c","270","No"
"0x3c37003f62da1ecba1f0218ac97ff24cda132204","310","No"
"0x3d3087a0603a8bef9dcbf721fb6100cedd416d82","200","No"
"0x3e13a91bbfb776bf02aea1c57d6904a4714e80c6","260","No"
"0x4de89162f766eeb2b0ed7dec561f91f87dd50dc9","977562","No"
"0x58271031c7fb514aecd1a9c38de648f093b9190a","240","No"
"0x5943c0aa61c1b2e424c9a1019d8be1086ad69362","200","No"
"0x60549b55ce09fee2d13fba0f3c87bceb84fe6970","100","No"
"0x6abe9949156f787aeedbf37a257f3a29f8726b12","110","No"
"0x729c94ff781cc1073cce80d62ebc3552a87155c1","280","No"
"0x7507fe42522a414fd367629787ece9e32be36467","100","No"
"0x7793f186aefd163e56d52ffea43ecfd27ea065be","560","No"
"0x786c7d8581c4efd72b6e76f8a23f706e6aefa875","419","No"
"0x7b7a361de1d78f5fc3bfc9ad4ec4d96c2f9cd193","500","No"
"0x7d5a801527d757a99db0f0ad6296107729a6cad2","940","No"
"0x81ecc8b14b860f5bf4c4750dc22c51b296d86ef4","510","No"
"0x821d451fb0d9c5de6f818d700b801a29587c3dca","520","No"
"0x83e4142225ecc3ce1a8061465d219c01b250e33a","211","No"
"0x85aff271be678afcd5214ad46b25a1dafe5bc2d4","220","No"
"0x870ccd55466886009ba008a1ccba0f73298dd281","110","No"
"0x8972fea2817a2af7b09751d76e2f9f6f5d21d4d9","210","No"
"0x8dfb9266a18efcdbc1c570248cc47e520d9307b0","101","No"
"0x9729b704e8527f16ee521f837285089bfc15f1f5","100","No"
"0xa57701c09612b328b1f606a9f64acb8b0bc38ca4","200","No"
"0xa6a341bcdcd213214b72d946014376adee5b4de2","210","No"
"0xa6b41c074de7f9eb4928d5eb6e7c94e3eb95955c","200","No"
"0xbbb4924068391ac668866a9cba7cfdb3d0e0fd42","10","No"
"0xc04c39062f07cdcc0abce6eb0d16ed82c9c65ac1","100","No"
"0xc34d0fef2f8ee6fa275105a68da44f6a05371cfe","497","No"
"0xc35a542b8302487108e58ec44c3cd559ab1b5b48","100","No"
"0xc37849ed7c7a0252665526363cbfd4303299ac6d","500","No"
"0xc8ae91c248ed90173aa80e8890f9e50fe654e487","40","No"
"0xc93c7f71581dfeaab59bed908888dac5689f312a","110","No"
"0xcf506cfb848968135c4567cda95eae3c8c506ffb","210","No"
"0xd02ce78bef6aa3bac0fee0c76d6ce5c6431b24db","100","No"
"0xd202014d97c95ec6ae01a0e947fd352b54d6effd","280","No"
"0xd7e8b08a1633d756c75b4748889b7c76a46f63d3","409","No"
"0xd96864f14a7967cae9ceeec09f70d03f37996d5d","110","No"
"0xdf460a16a32f3bd2acc7af7e2646fafae0a135a6","509","No"
"0xe2c92dbc9baa643d94c68d23160c014cbe173313","658","No"
"0xe39777d0dbd658e34d58d427d0320269caeb2db8","611","No"
"0xe7e84204b7e180454e5c40d0e04d346214a83f85","60","No"
"0xef5d154b20a4041493a0ea59872c10be3bd8c1b0","7300","No"
"0xf1eb97db090efe029a734994973ffd957de95ed9","10","No"
"0xfc59e3f4503a2ee3d1438236229c51a21a36eb04","120","No"
